"read_num","time","abs","enzyme","abs_corr"
13,85,0.1841,"Library A",4.09182
13,94,0.2128,"Library A",4.90116
14,0,0.0385,"Library A",-0.0141
14,27,0.041,"Library A",0.0564
14,38,0.0424,"Library A",0.09588
14,43,0.044,"Library A",0.141
14,50,0.0448,"Library A",0.16356
14,60,0.0726,"Library A",0.94752
14,70,0.094,"Library A",1.551
14,85,0.1859,"Library A",4.14258
14,94,0.2185,"Library A",5.0619
15,0,0.037,"Library A",-0.0564
15,27,0.0407,"Library A",0.04794
15,38,0.0418,"Library A",0.0789599999999999
15,43,0.0427,"Library A",0.10434
15,50,0.0441,"Library A",0.14382
15,60,0.0668,"Library A",0.78396
15,70,0.0883,"Library A",1.39026
15,85,0.1807,"Library A",3.99594
15,94,0.2124,"Library A",4.88988
16,0,0.0369,"Library A",-0.0592199999999999
16,27,0.0411,"Library A",0.0592199999999999
16,38,0.0419,"Library A",0.08178
16,43,0.0426,"Library A",0.10152
16,50,0.0443,"Library A",0.14946
16,60,0.0719,"Library A",0.92778
16,70,0.09,"Library A",1.4382
16,85,0.1781,"Library A",3.92262
16,94,0.2164,"Library A",5.00268
17,0,0.0372,"Library A",-0.0507600000000001
17,27,0.0408,"Library A",0.0507600000000001
17,38,0.0417,"Library A",0.07614
17,43,0.0425,"Library A",0.0987000000000001
17,50,0.0443,"Library A",0.14946
17,60,0.0717,"Library A",0.92214
17,70,0.0964,"Library A",1.61868
17,85,0.1794,"Library A",3.95928
17,94,0.2139,"Library A",4.93218
18,0,0.0371,"Library A",-0.05358
18,27,0.0407,"Library A",0.04794
18,38,0.0419,"Library A",0.08178
18,43,0.0428,"Library A",0.10716
18,50,0.0439,"Library A",0.13818
18,60,0.0704,"Library A",0.88548
18,70,0.093,"Library A",1.5228
18,85,0.1805,"Library A",3.9903
18,94,0.2119,"Library A",4.87578
19,0,0.0368,"Library A",-0.06204
19,27,0.0406,"Library A",0.0451199999999999
19,38,0.0438,"Library A",0.13536
19,43,0.0424,"Library A",0.09588
19,50,0.0446,"Library A",0.15792
19,60,0.0725,"Library A",0.9447
19,70,0.0955,"Library A",1.5933
19,85,0.1794,"Library A",3.95928
19,94,0.2178,"Library A",5.04216
20,0,0.0369,"Library A",-0.0592199999999999
20,27,0.0404,"Library A",0.03948
20,38,0.0417,"Library A",0.07614
20,43,0.0422,"Library A",0.09024
20,50,0.0436,"Library A",0.12972
20,60,0.0661,"Library A",0.76422
20,70,0.0879,"Library A",1.37898
20,85,0.1824,"Library A",4.04388
20,94,0.2089,"Library A",4.79118
21,0,0.0385,"Library A",-0.0141
21,27,0.0407,"Library A",0.04794
21,38,0.0414,"Library A",0.06768
21,43,0.0423,"Library A",0.0930599999999999
21,50,0.0442,"Library A",0.14664
