"read_num","0","27","38","43","50","60","70","85","94"
1,0.0365,0.0393,0.0399,0.0406,0.0416,0.0509,0.065,0.1309,0.1772
2,0.0371,0.0395,0.0413,0.0422,0.0414,0.0522,0.0692,0.1445,0.1875
3,0.0382,0.0393,0.0397,0.0403,0.0423,0.0546,0.0717,0.1512,0.1825
4,0.0363,0.0405,0.0413,0.0445,0.0425,0.059,0.0804,0.1649,0.2073
5,0.0366,0.0402,0.041,0.0418,0.0427,0.0537,0.0701,0.1605,0.2052
6,0.0362,0.0406,0.043,0.0421,0.0424,0.0541,0.0687,0.1432,0.1951
7,0.0365,0.0389,0.0402,0.0395,0.0402,0.0438,0.0489,0.0727,0.0941
8,0.0363,0.0388,0.0388,0.0391,0.0398,0.0436,0.0468,0.0715,0.0928
9,0.0365,0.0388,0.0394,0.0393,0.0403,0.0434,0.0477,0.0735,0.0957
10,0.0363,0.0393,0.0401,0.0405,0.0412,0.0452,0.0535,0.1128,0.1658
11,0.0368,0.0392,0.0403,0.0405,0.0414,0.0461,0.0547,0.1212,0.1632
12,0.0359,0.0387,0.0395,0.0386,0.0413,0.0541,0.0558,0.1238,0.1606
13,0.0384,0.0408,0.0419,0.0429,0.0444,0.0716,0.0943,0.1841,0.2128
14,0.0385,0.041,0.0424,0.044,0.0448,0.0726,0.094,0.1859,0.2185
15,0.037,0.0407,0.0418,0.0427,0.0441,0.0668,0.0883,0.1807,0.2124
16,0.0369,0.0411,0.0419,0.0426,0.0443,0.0719,0.09,0.1781,0.2164
17,0.0372,0.0408,0.0417,0.0425,0.0443,0.0717,0.0964,0.1794,0.2139
18,0.0371,0.0407,0.0419,0.0428,0.0439,0.0704,0.093,0.1805,0.2119
19,0.0368,0.0406,0.0438,0.0424,0.0446,0.0725,0.0955,0.1794,0.2178
20,0.0369,0.0404,0.0417,0.0422,0.0436,0.0661,0.0879,0.1824,0.2089
21,0.0385,0.0407,0.0414,0.0423,0.0442,0.0718,0.0916,0.1828,0.2168
22,0.0368,0.0407,0.0419,0.0426,0.044,0.0665,0.0883,0.1758,0.204
23,0.037,0.0405,0.042,0.0426,0.0439,0.072,0.0923,0.172,0.2059
24,0.037,0.0405,0.0416,0.0424,0.0437,0.0752,0.0906,0.181,0.2151
25,0.0374,0.0408,0.0422,0.0426,0.0453,0.0729,0.0963,0.1941,0.2285
26,0.0374,0.0409,0.0418,0.0426,0.045,0.0721,0.0921,0.1852,0.2175
27,0.0371,0.0411,0.0427,0.043,0.0445,0.0701,0.0904,0.1849,0.2287
28,0.0373,0.0411,0.042,0.0427,0.0444,0.0738,0.0926,0.1796,0.221
29,0.0373,0.0407,0.0418,0.0425,0.044,0.0734,0.0958,0.1851,0.2174
30,0.0375,0.0414,0.0421,0.0429,0.0444,0.0714,0.0946,0.1827,0.2166
31,0.0863,0.0404,0.0422,0.0422,0.044,0.0724,0.0922,0.1744,0.2138
32,0.0427,0.0408,0.0422,0.0427,0.0444,0.0457,0.0908,0.1831,0.2191
