"well","slope_a_s","slope_mA_min"
"B1",0.000482525252525252,28.9515151515151
"B2",0.000376161616161616,22.569696969697
"B3",0.000252424242424243,15.1454545454546
"B4",0.000163939393939394,9.83636363636365
"B5",8.8888888888889e-05,5.33333333333334
"B6",5.18181818181817e-05,3.1090909090909
"B7",0.000476767676767677,28.6060606060606
"B8",0.000358080808080808,21.4848484848485
"B9",0.000251717171717172,15.1030303030303
"B10",0.000160707070707071,9.64242424242425
"B11",9.02020202020201e-05,5.4121212121212
"B12",4.99999999999999e-05,2.99999999999999
